Date Processed,Previous Close,Volume,Market Cap,PE Ratio (TTM),EPS (TTM),Financial Report Date,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number,Book Value,Book Value per Share,Price to Book Value Ratio,Asset to Liabilities
08/26/20,100.50,"11,682,063",301.987B,13.27,7.47,12/31/2019,"2,687,379,000","2,426,049,000","261,330,000","552,828,000","26,993,000","234,337,000","207,989,000","566,755,000","180,996,000","332,418,000","68,787,000","4,104,934","3,084,021",845.125,"1,020,913",261330000000.0,22370.192662032383,0.004492585357593846,1.1077183519376566
08/27/20,99.09,"21,908,546",311.922B,13.70,7.47,12/31/2019,"2,687,379,000","2,426,049,000","261,330,000","552,828,000","26,993,000","234,337,000","207,989,000","566,755,000","180,996,000","332,418,000","68,787,000","4,104,934","3,084,021",845.125,"1,020,913",261330000000.0,11928.221982417272,0.008307189465962577,1.1077183519376566
08/28/20,102.35,"12,850,034",313.202B,13.76,7.47,12/31/2019,"2,687,379,000","2,426,049,000","261,330,000","552,828,000","26,993,000","234,337,000","207,989,000","566,755,000","180,996,000","332,418,000","68,787,000","4,104,934","3,084,021",845.125,"1,020,913",261330000000.0,20336.911170818694,0.005032721003711781,1.1077183519376566
08/31/20,102.77,"13,836,599",305.339B,13.41,7.47,12/31/2019,"2,687,379,000","2,426,049,000","261,330,000","552,828,000","26,993,000","234,337,000","207,989,000","566,755,000","180,996,000","332,418,000","68,787,000","4,104,934","3,084,021",845.125,"1,020,913",261330000000.0,18886.866635363214,0.0054413472591359575,1.1077183519376566
09/01/20,100.19,"11,462,165",305.187B,13.41,7.47,12/31/2019,"2,687,379,000","2,426,049,000","261,330,000","552,828,000","26,993,000","234,337,000","207,989,000","566,755,000","180,996,000","332,418,000","68,787,000","4,104,934","3,084,021",845.125,"1,020,913",261330000000.0,22799.357712962603,0.0043944220386101865,1.1077183519376566
09/02/20,100.14,"13,997,101",309.789B,13.61,7.47,12/31/2019,"2,687,379,000","2,426,049,000","261,330,000","552,828,000","26,993,000","234,337,000","207,989,000","566,755,000","180,996,000","332,418,000","68,787,000","4,104,934","3,084,021",845.125,"1,020,913",261330000000.0,18670.29465601484,0.00536360040615314,1.1077183519376566
09/03/20,101.65,"23,251,714",308.813B,13.57,7.47,12/31/2019,"2,687,379,000","2,426,049,000","261,330,000","552,828,000","26,993,000","234,337,000","207,989,000","566,755,000","180,996,000","332,418,000","68,787,000","4,104,934","3,084,021",845.125,"1,020,913",261330000000.0,11239.171443447136,0.009044261003711784,1.1077183519376566
09/04/20,101.33,"25,772,713",315.488B,13.86,7.47,12/31/2019,"2,687,379,000","2,426,049,000","261,330,000","552,828,000","26,993,000","234,337,000","207,989,000","566,755,000","180,996,000","332,418,000","68,787,000","4,104,934","3,084,021",845.125,"1,020,913",261330000000.0,10139.793975124001,0.009993299691156775,1.1077183519376566
09/08/20,103.52,"21,062,701",304.516B,13.38,7.47,12/31/2019,"2,687,379,000","2,426,049,000","261,330,000","552,828,000","26,993,000","234,337,000","207,989,000","566,755,000","180,996,000","332,418,000","68,787,000","4,104,934","3,084,021",845.125,"1,020,913",261330000000.0,12407.24064781625,0.008343515124631691,1.1077183519376566
09/09/20,99.92,"13,432,764",307.411B,13.51,7.47,12/31/2019,"2,687,379,000","2,426,049,000","261,330,000","552,828,000","26,993,000","234,337,000","207,989,000","566,755,000","180,996,000","332,418,000","68,787,000","4,104,934","3,084,021",845.125,"1,020,913",261330000000.0,19454.670684305926,0.005136041705429916,1.1077183519376566
09/10/20,100.87,"15,228,194",304.242B,13.37,7.47,12/31/2019,"2,687,379,000","2,426,049,000","261,330,000","552,828,000","26,993,000","234,337,000","207,989,000","566,755,000","180,996,000","332,418,000","68,787,000","4,104,934","3,084,021",845.125,"1,020,913",261330000000.0,17160.93188726122,0.005877885924999044,1.1077183519376566
09/11/20,99.83,"13,772,940",308.021B,13.53,7.47,12/31/2019,"2,687,379,000","2,426,049,000","261,330,000","552,828,000","26,993,000","234,337,000","207,989,000","566,755,000","180,996,000","332,418,000","68,787,000","4,104,934","3,084,021",845.125,"1,020,913",261330000000.0,18974.16237927414,0.005261365324302606,1.1077183519376566
09/14/20,101.07,"19,009,504",312.288B,13.72,7.47,12/31/2019,"2,687,379,000","2,426,049,000","261,330,000","552,828,000","26,993,000","234,337,000","207,989,000","566,755,000","180,996,000","332,418,000","68,787,000","4,104,934","3,084,021",845.125,"1,020,913",261330000000.0,13747.333965157639,0.00735197095350706,1.1077183519376566
09/15/20,102.47,"23,644,579",302.566B,13.29,7.47,12/31/2019,"2,687,379,000","2,426,049,000","261,330,000","552,828,000","26,993,000","234,337,000","207,989,000","566,755,000","180,996,000","332,418,000","68,787,000","4,104,934","3,084,021",845.125,"1,020,913",261330000000.0,11052.42770446452,0.009271266253893544,1.1077183519376566
