Date Processed,Previous Close,Volume,Market Cap,PE Ratio (TTM),EPS (TTM),Financial Report Date,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Book Value,Book Value per Share,Price to Book Value Ratio,Asset to Liabilities
08/26/20,268.69,"1,308,064",52.134B,N/A,-7.63,12/31/2019,"5,122,000","3,085,000","2,037,000","2,037,000","2,037,000","622,000","1,501,000","-208,000","2,037,000","1,501,000","622,000",N/A,"184,326","184,326",N/A,2037000000.0,1557.2632531741567,0.17253987047619046,1.660291734197731
08/27/20,278.29,"1,228,178",50.957B,N/A,-7.63,12/31/2019,"5,122,000","3,085,000","2,037,000","2,037,000","2,037,000","622,000","1,501,000","-208,000","2,037,000","1,501,000","622,000",N/A,"184,326","184,326",N/A,2037000000.0,1658.5543789255303,0.16779069986254297,1.660291734197731
08/28/20,272.01,"1,366,484",52.334B,N/A,-7.63,12/31/2019,"5,122,000","3,085,000","2,037,000","2,037,000","2,037,000","622,000","1,501,000","-208,000","2,037,000","1,501,000","622,000",N/A,"184,326","184,326",N/A,2037000000.0,1490.6870479273814,0.18247290762886598,1.660291734197731
08/31/20,279.36,"866,468",52.859B,N/A,-7.63,12/31/2019,"5,122,000","3,085,000","2,037,000","2,037,000","2,037,000","622,000","1,501,000","-208,000","2,037,000","1,501,000","622,000",N/A,"184,326","184,326",N/A,2037000000.0,2350.9235193913682,0.11882989714285715,1.660291734197731
09/01/20,282.16,"1,213,233",54.655B,N/A,-7.63,12/31/2019,"5,122,000","3,085,000","2,037,000","2,037,000","2,037,000","622,000","1,501,000","-208,000","2,037,000","1,501,000","622,000",N/A,"184,326","184,326",N/A,2037000000.0,1678.9849929898048,0.16805391422680416,1.660291734197731
09/02/20,291.75,"2,421,176",51.759B,N/A,-7.63,12/31/2019,"5,122,000","3,085,000","2,037,000","2,037,000","2,037,000","622,000","1,501,000","-208,000","2,037,000","1,501,000","622,000",N/A,"184,326","184,326",N/A,2037000000.0,841.3266941354119,0.346773734904271,1.660291734197731
09/03/20,276.29,"1,828,891",49.018B,N/A,-7.63,12/31/2019,"5,122,000","3,085,000","2,037,000","2,037,000","2,037,000","622,000","1,501,000","-208,000","2,037,000","1,501,000","622,000",N/A,"184,326","184,326",N/A,2037000000.0,1113.7897228429688,0.2480629820274914,1.660291734197731
09/04/20,261.66,"2,055,902",46.499B,N/A,-7.63,12/31/2019,"5,122,000","3,085,000","2,037,000","2,037,000","2,037,000","622,000","1,501,000","-208,000","2,037,000","1,501,000","622,000",N/A,"184,326","184,326",N/A,2037000000.0,990.8059819971963,0.26408803010309284,1.660291734197731
09/08/20,248.21,"1,463,528",44.964B,N/A,-7.63,12/31/2019,"5,122,000","3,085,000","2,037,000","2,037,000","2,037,000","622,000","1,501,000","-208,000","2,037,000","1,501,000","622,000",N/A,"184,326","184,326",N/A,2037000000.0,1391.8421786258957,0.17833200043200786,1.660291734197731
09/09/20,240.02,"1,034,103",45.884B,N/A,-7.63,12/31/2019,"5,122,000","3,085,000","2,037,000","2,037,000","2,037,000","622,000","1,501,000","-208,000","2,037,000","1,501,000","622,000",N/A,"184,326","184,326",N/A,2037000000.0,1969.8231220681112,0.12184850371134022,1.660291734197731
09/10/20,244.93,"3,013,949",46.418B,N/A,-7.63,12/31/2019,"5,122,000","3,085,000","2,037,000","2,037,000","2,037,000","622,000","1,501,000","-208,000","2,037,000","1,501,000","622,000",N/A,"184,326","184,326",N/A,2037000000.0,675.8574879667838,0.36239888491408934,1.660291734197731
09/11/20,247.78,"1,364,846",45.26B,N/A,-7.63,12/31/2019,"5,122,000","3,085,000","2,037,000","2,037,000","2,037,000","622,000","1,501,000","-208,000","2,037,000","1,501,000","622,000",N/A,"184,326","184,326",N/A,2037000000.0,1492.4760742237586,0.16601941182130583,1.660291734197731
09/14/20,241.60,"1,154,141",44.689B,N/A,-7.63,12/31/2019,"5,122,000","3,085,000","2,037,000","2,037,000","2,037,000","622,000","1,501,000","-208,000","2,037,000","1,501,000","622,000",N/A,"184,326","184,326",N/A,2037000000.0,1764.94899669971,0.13688780834560627,1.660291734197731
