Date Processed,Previous Close,Volume,Market Cap,PE Ratio (TTM),EPS (TTM),Financial Report Date,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Book Value,Book Value per Share,Price to Book Value Ratio,Asset to Liabilities
08/21/20,"2,001.83","21,074,891",382.038B,"1,061.07",1.93,12/31/2019,"34,309,000","26,842,000","7,467,000","18,252,000","6,618,000","1,050,000","6,081,000","1,436,000","20,037,000","6,081,000","14,469,000","7,151,000","181,062","181,062",7467000000.0,354.3078823041125,5.649973088325967,1.2781834438566426
08/24/20,"2,049.98","19,849,474",375.37B,"1,042.55",1.93,12/31/2019,"34,309,000","26,842,000","7,467,000","18,252,000","6,618,000","1,050,000","6,081,000","1,436,000","20,037,000","6,081,000","14,469,000","7,151,000","181,062","181,062",7467000000.0,376.18125296418435,5.44944753053703,1.2781834438566426
08/25/20,"2,014.20","10,495,731",377.074B,"1,047.28",1.93,12/31/2019,"34,309,000","26,842,000","7,467,000","18,252,000","6,618,000","1,050,000","6,081,000","1,436,000","20,037,000","6,081,000","14,469,000","7,151,000","181,062","181,062",7467000000.0,711.4321051101633,2.8311907566894337,1.2781834438566426
08/26/20,"2,023.34","13,948,695",401.269B,"1,114.48",1.93,12/31/2019,"34,309,000","26,842,000","7,467,000","18,252,000","6,618,000","1,050,000","6,081,000","1,436,000","20,037,000","6,081,000","14,469,000","7,151,000","181,062","181,062",7467000000.0,535.3188954235504,3.779690979148252,1.2781834438566426
08/27/20,"2,153.17","23,346,950",417.218B,"1,158.77",1.93,12/31/2019,"34,309,000","26,842,000","7,467,000","18,252,000","6,618,000","1,050,000","6,081,000","1,436,000","20,037,000","6,081,000","14,469,000","7,151,000","181,062","181,062",7467000000.0,319.8276434395071,6.732282353220839,1.2781834438566426
08/28/20,"2,238.75","19,804,850",412.494B,"1,145.65",1.93,12/31/2019,"34,309,000","26,842,000","7,467,000","18,252,000","6,618,000","1,050,000","6,081,000","1,436,000","20,037,000","6,081,000","14,469,000","7,151,000","181,062","181,062",7467000000.0,377.028859092596,5.937874372237847,1.2781834438566426
08/31/20,442.68,"114,181,531",464.339B,"1,290.98",0.39,12/31/2019,"34,309,000","26,842,000","7,467,000","18,252,000","6,618,000","1,050,000","6,081,000","1,436,000","20,037,000","6,081,000","14,469,000","7,151,000","905,310","905,310",7467000000.0,65.39586511587413,6.76923532115709,1.2781834438566426
09/01/20,498.32,"88,701,733",442.656B,"1,230.70",0.39,12/31/2019,"34,309,000","26,842,000","7,467,000","18,252,000","6,618,000","1,050,000","6,081,000","1,436,000","20,037,000","6,081,000","14,469,000","7,151,000","905,310","905,310",7467000000.0,84.1809933972767,5.919626033019954,1.2781834438566426
09/02/20,475.05,"94,009,661",416.863B,"1,158.99",0.39,12/31/2019,"34,309,000","26,842,000","7,467,000","18,252,000","6,618,000","1,050,000","6,081,000","1,436,000","20,037,000","6,081,000","14,469,000","7,151,000","905,310","905,310",7467000000.0,79.42800687261281,5.980887834210526,1.2781834438566426
09/03/20,447.37,"83,685,573",379.246B,"1,054.40",0.39,12/31/2019,"34,309,000","26,842,000","7,467,000","18,252,000","6,618,000","1,050,000","6,081,000","1,436,000","20,037,000","6,081,000","14,469,000","7,151,000","905,310","905,310",7467000000.0,89.2268491726764,5.013849577207714,1.2781834438566426
09/04/20,407.00,"105,669,926",389.794B,"1,083.73",N/A,12/31/2019,"34,309,000","26,842,000","7,467,000","18,252,000","6,618,000","1,050,000","6,081,000","1,436,000","20,037,000","6,081,000","14,469,000","7,151,000","905,310","905,310",7467000000.0,70.66343549819463,5.759697319137539,1.2781834438566426
09/08/20,418.32,"115,465,691",307.693B,855.47,0.39,12/31/2019,"34,309,000","26,842,000","7,467,000","18,252,000","6,618,000","1,050,000","6,081,000","1,436,000","20,037,000","6,081,000","14,469,000","7,151,000","905,310","905,310",7467000000.0,64.66856029121239,6.468676558071515,1.2781834438566426
09/09/20,330.21,"77,555,075",341.303B,948.91,0.39,12/31/2019,"34,309,000","26,842,000","7,467,000","18,252,000","6,618,000","1,050,000","6,081,000","1,436,000","20,037,000","6,081,000","14,469,000","7,151,000","905,310","905,310",7467000000.0,96.27996620466166,3.4296854581157086,1.2781834438566426
