Date Processed,Previous Close,Volume,Market Cap,PE Ratio (TTM),EPS (TTM),Financial Report Date,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Book Value,Book Value per Share,Price to Book Value Ratio,Asset to Liabilities
07/20/20,202.88,"36,884,836",1.605T,35.25,6.00,6/30/2019,"286,556,000","184,226,000","102,330,000","168,992,000","102,330,000","6,188,000","52,554,000","106,132,000","174,508,000","52,554,000","78,366,000","60,822,000","7,643,000","7,643,000",102330000000.0,2774.310830608004,0.07312807121743378,1.5554590557250334
07/21/20,211.60,"36,663,976",1.583T,34.78,6.00,6/30/2019,"286,556,000","184,226,000","102,330,000","168,992,000","102,330,000","6,188,000","52,554,000","106,132,000","174,508,000","52,554,000","78,366,000","60,822,000","7,643,000","7,643,000",102330000000.0,2791.022992159934,0.07581449547151373,1.5554590557250334
07/22/20,208.75,"41,197,886",1.606T,35.28,6.00,6/30/2019,"286,556,000","184,226,000","102,330,000","168,992,000","102,330,000","6,188,000","52,554,000","106,132,000","174,508,000","52,554,000","78,366,000","60,822,000","7,643,000","7,643,000",102330000000.0,2483.865312894938,0.08404239912537868,1.5554590557250334
07/23/20,211.75,"65,585,628",1.536T,33.75,6.00,6/30/2019,"286,556,000","184,226,000","102,330,000","168,992,000","102,330,000","6,188,000","52,554,000","106,132,000","174,508,000","52,554,000","78,366,000","60,822,000","7,643,000","7,643,000",102330000000.0,1560.2503646073192,0.1357153985048373,1.5554590557250334
07/24/20,202.54,"39,201,696",1.524T,34.95,5.76,6/30/2020,"301,311,000","183,007,000","118,304,000","177,882,000","118,304,000","7,671,000","67,915,000","109,605,000","181,631,000","67,915,000","70,998,000","49,751,000","7,571,000","7,571,000",118304000000.0,3017.828616394556,0.06711448055720855,1.646445217942483
07/27/20,201.30,"27,538,869",1.543T,35.39,5.76,6/30/2020,"301,311,000","183,007,000","118,304,000","177,882,000","118,304,000","7,671,000","67,915,000","109,605,000","181,631,000","67,915,000","70,998,000","49,751,000","7,571,000","7,571,000",118304000000.0,4295.891744864322,0.04685872269492156,1.646445217942483
07/28/20,203.85,"22,753,762",1.529T,35.07,5.76,6/30/2020,"301,311,000","183,007,000","118,304,000","177,882,000","118,304,000","7,671,000","67,915,000","109,605,000","181,631,000","67,915,000","70,998,000","49,751,000","7,571,000","7,571,000",118304000000.0,5199.316051561056,0.039207079927136866,1.646445217942483
07/29/20,202.02,"19,415,739",1.545T,35.43,5.76,6/30/2020,"301,311,000","183,007,000","118,304,000","177,882,000","118,304,000","7,671,000","67,915,000","109,605,000","181,631,000","67,915,000","70,998,000","49,751,000","7,571,000","7,571,000",118304000000.0,6093.200985035903,0.033154987090715446,1.646445217942483
07/30/20,204.06,"24,046,950",1.544T,35.40,5.76,6/30/2020,"301,311,000","183,007,000","118,304,000","177,882,000","118,304,000","7,671,000","67,915,000","109,605,000","181,631,000","67,915,000","70,998,000","49,751,000","7,571,000","7,571,000",118304000000.0,4919.709152304138,0.04147806174770084,1.646445217942483
07/31/20,203.90,"46,893,685",1.552T,35.59,5.76,6/30/2020,"301,311,000","183,007,000","118,304,000","177,882,000","118,304,000","7,671,000","67,915,000","109,605,000","181,631,000","67,915,000","70,998,000","49,751,000","7,571,000","7,571,000",118304000000.0,2522.8130397515147,0.08082247744370435,1.646445217942483
