Date Processed,Previous Close,Volume,Market Cap,PE Ratio (TTM),EPS (TTM),Financial Report Date,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Book Value,Book Value per Share,Price to Book Value Ratio,Asset to Liabilities
07/20/20,203.00,"742,634",11.266B,26.41,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,2561.2805231109805,0.07925723018946487,1.6422135622588865
07/21/20,200.06,"1,200,021",11.373B,26.66,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,1585.0505949479218,0.12621679121010843,1.6422135622588865
07/22/20,201.96,"743,253",11.569B,27.12,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,2559.1474235556398,0.07891690730321425,1.6422135622588865
07/23/20,205.44,"932,922",11.58B,27.15,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,2038.8564102893918,0.10076236804279914,1.6422135622588865
07/24/20,205.64,"584,798",11.471B,26.90,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,3252.565843248438,0.06322393147762413,1.6422135622588865
07/27/20,203.71,"1,235,424",11.197B,26.25,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,1539.628500012951,0.13231113869240954,1.6422135622588865
07/28/20,198.84,"590,591",11.125B,26.08,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,3220.6620148292136,0.06173885961471935,1.6422135622588865
07/29/20,197.56,"700,249",11.432B,26.80,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,2716.31091226121,0.07273099670152999,1.6422135622588865
07/30/20,203.02,"751,484",11.184B,26.22,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,2531.1170963054437,0.08020964351919516,1.6422135622588865
07/31/20,198.61,"1,283,721",10.868B,25.48,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,1481.7035788929215,0.13404165504438792,1.6422135622588865
08/03/20,192.99,"1,187,072",10.772B,25.26,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,1602.3408858097907,0.12044253611020277,1.6422135622588865
08/04/20,191.29,"1,012,699",11.177B,26.21,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,1878.242202273331,0.10184522516237367,1.6422135622588865
08/05/20,198.49,"907,543",11.373B,26.66,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,2095.872041324764,0.09470520913792904,1.6422135622588865
08/06/20,201.96,"781,904",11.488B,26.94,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,2432.643905134134,0.08302078227469306,1.6422135622588865
08/07/20,204.01,"544,622",11.481B,26.92,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,3492.5030571662546,0.05841369260404586,1.6422135622588865
